시도,군구,관광지,총계,2020,2021,2022,2023,2024
전라남도,순천시,잡월드,174133,,,97096,77037,
전라남도,순천시,전통야생차체험관,64741,7648,11110,16012,15973,13998
전라남도,순천시,청춘창고,452303,88281,108537,82012,94654,78819
전라남도,순천시,파인힐스골프장,656267,142114,139374,132909,123323,118547
전라남도,순천시,팔마실내수영장,550405,42937,42227,128144,172931,164166
전라남도,순천시,팔마체육관,239573,2900,39323,81175,55792,60383
전라남도,순천시,포라이즌CC,707817,126458,256040,126462,102212,96645
전라남도,순천시,호남호국기념관,128307,,,27594,43577,57136
전라남도,나주시,골드레이크CC,982261,187897,206847,213126,193684,180707
전라남도,나주시,국립나주박물관,996940,34291,76338,289369,264913,332029
전라남도,나주시,국립나주숲체원,48993,,,,20532,28461
전라남도,나주시,금성관,429886,105430,91430,131510,101516,
전라남도,나주시,금성산 둘레길,221227,35132,53623,51745,80727,
전라남도,나주시,나주 신청문화관,6430,,,,3911,2519
전라남도,나주시,나주CC,169366,33692,36456,43977,30970,24271
전라남도,나주시,나주목사내아,32375,461,634,888,30392,
전라남도,나주시,나주배박물관,37058,,,6622,13795,16641
전라남도,나주시,나주영상테마파크 문화센터 유스호스텔,13330,,,,6614,6716
전라남도,나주시,나주정미소,19912,,,,,19912
전라남도,나주시,나주학생독립운동기념관,65890,11442,11452,13214,14456,15326
전라남도,나주시,나주힐스CC,234839,43929,47408,50450,46990,46062
전라남도,나주시,명하쪽빛마을,7112,,,,,7112
전라남도,나주시,목문화관,23888,,,,,23888
전라남도,나주시,별밤 캠핑장,6338,,,,,6338
전라남도,나주시,복암리 고분전시관,63981,8730,11748,14109,13830,15564
전라남도,나주시,부영CC,40581,40581,,,,
전라남도,나주시,불회사 입구,178207,16513,24937,59171,77586,
전라남도,나주시,비토애 럭셔리 글램핑,17761,,,,,17761
전라남도,나주시,빛가람전망대,884343,103902,175070,183218,214533,207620
전라남도,나주시,순교자 기념 성당(경당),7376,,,,,7376
전라남도,나주시,영상테마파크,103344,18253,38684,31107,15300,
전라남도,나주시,전라남도 산림자원연구소,422911,76405,92541,126624,127341,
전라남도,나주시,죽산보오토캠핑장,17178,,,,10202,6976
전라남도,나주시,중흥골드스파,1179441,82007,107322,283277,323904,382931
전라남도,나주시,천연염색박물관,359662,34700,63450,66487,57840,137185
전라남도,나주시,해피니스CC,1038941,184942,204166,210439,205385,234009
전라남도,나주시,황포돛배,79356,4931,13200,19805,19852,21568
전라남도,광양시,고사마을,12872,3600,2735,3030,1517,1990
전라남도,광양시,광양궁시전수교육관,45436,1300,9336,11268,12098,11434
전라남도,광양시,광양문예회관,164538,7064,14597,31050,56819,55008
전라남도,광양시,광양실내수영장,972484,84471,68077,223066,290469,306401
전라남도,광양시,광양에코파크,95518,10227,13744,25058,25312,21177
전라남도,광양시,광양역사문화관,46883,8064,5634,1019,16512,15654
전라남도,광양시,광양예술창고,79165,,,25256,30758,23151
전라남도,광양시,광양와인동굴,232638,24423,31474,57757,65737,53247
전라남도,광양시,광양유당공원,23474,,7041,7181,9252,
전라남도,광양시,광양제철소,1050,1050,0,,,
전라남도,광양시,광양컨트리클럽,199758,32063,41340,44201,41758,40396
전라남도,광양시,광양항컨테이너부두,16621,0,0,4384,6196,6041
전라남도,광양시,구봉산전망대,378310,81626,43528,54289,113319,85548
